ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000859.SZ,000859,国风新材,安徽,塑料,主板,19981119,20250307,5.34,2.7196,3.8367,1.25,,,1.7182,2.1407,2.1267,0.0,,89597.6271,89585.4021,63501.2387,478451.3287,478386.0472
000860.SZ,000860,顺鑫农业,北京,白酒,主板,19981104,20250307,17.05,1.6021,2.599,0.94,,33.3915,1.7652,1.194,1.3895,0.0,,74176.6989,74176.6989,45725.5821,1264712.7162,1264712.7162
000863.SZ,000863,三湘印象,上海,区域地产,主板,19970925,20250307,3.67,2.5107,4.7116,0.76,3506.2666,130.4817,0.9554,3.9216,3.6247,0.0,,118069.956,116361.5343,62007.2198,433316.7385,427046.8309
000868.SZ,000868,安凯客车,安徽,汽车整车,主板,19970725,20250307,7.04,6.6702,10.205,0.85,,,7.8276,3.0815,2.7222,0.0,,93951.4735,73332.8418,47931.9522,661418.3734,516263.2063
000875.SZ,000875,吉电股份,吉林,火力发电,主板,20020926,20250307,5.06,1.0086,1.2733,1.12,20.2043,14.8466,1.0717,1.2708,1.3509,1.7787,1.7787,362727.0626,278996.6299,221008.6676,1835398.9368,1411722.9473
000881.SZ,000881,中广核技,辽宁,化工原料,主板,19980902,20250307,6.93,1.0785,1.7814,0.69,,,1.2029,1.0314,1.0457,0.0,,94542.5815,79034.4031,47850.1691,655180.0898,547708.4135
000882.SZ,000882,华联股份,北京,其他商业,主板,19980616,20250307,2.66,8.4994,13.6068,0.95,254.1409,432.9008,1.0523,6.6227,5.3559,0.0,,273735.1947,273551.4266,170871.1951,728135.6179,727646.7948
000885.SZ,000885,城发环境,河南,环境保护,主板,19990319,20250307,12.61,0.7622,2.7747,1.04,7.5314,7.6273,0.986,1.2415,1.2588,1.9984,1.9984,64207.8255,64207.8255,17637.3831,809660.6796,809660.6796
000886.SZ,000886,海南高速,海南,区域地产,主板,19980123,20250307,7.0,3.5326,4.7528,0.84,76.4782,82.5538,2.2901,55.748,34.9994,1.0,1.0,98882.83,97783.6898,72680.0859,692179.81,684485.8286
000888.SZ,000888,峨眉山A,四川,旅游景点,主板,19971021,20250307,12.42,3.0656,5.0753,1.41,28.7505,31.1118,2.4894,6.2645,6.3629,1.6103,1.6103,52691.3102,52691.3102,31826.6608,654426.0727,654426.0727
000892.SZ,000892,欢瑞世纪,重庆,影视音像,主板,19990115,20250307,4.09,15.5713,21.8199,0.97,,,3.7609,11.9466,21.0555,0.0,,98098.0473,71083.6454,50727.2558,401221.0135,290732.1097
000897.SZ,000897,津滨发展,天津,区域地产,主板,19990422,20250307,2.3,1.5302,1.9349,0.82,7.0871,9.308,1.2113,1.2141,1.4674,0.0,,161727.2234,161724.1634,127892.9294,371972.6138,371965.5758
000899.SZ,000899,赣能股份,江西,火力发电,主板,19971126,20250307,8.19,1.1447,3.9468,1.06,16.321,11.0864,1.4096,1.1272,1.1733,1.8437,1.8437,97567.776,97567.776,28298.5929,799080.0854,799080.0854
000900.SZ,000900,现代投资,湖南,路桥,主板,19990128,20250307,4.1,0.8918,1.6687,1.19,11.4671,11.7706,0.5668,0.7867,0.8153,3.6585,3.6585,151782.8334,151776.0834,81118.1949,622309.6169,622281.9419
000901.SZ,000901,航天科技,黑龙江,汽车配件,主板,19990401,20250307,11.85,4.4262,6.7644,1.08,,,2.2533,1.39,1.3368,0.0,,79820.1406,79819.3381,52229.7349,945868.6661,945859.1565
000902.SZ,000902,新洋丰,湖北,农药化肥,主板,19990408,20250307,11.94,0.665,1.3953,0.56,12.4167,11.272,1.4606,0.9922,0.9615,2.5126,2.5126,125473.3168,114278.235,54460.5571,1498151.4026,1364482.1259
000903.SZ,000903,云内动力,云南,汽车配件,主板,19990415,20250307,4.06,11.9326,18.0407,2.86,,,2.9991,1.4896,1.5351,0.0,,194976.9173,192026.1648,127011.9255,791606.2842,779626.2291
000905.SZ,000905,厦门港务,福建,港口,主板,19990429,20250307,7.17,2.7207,5.6868,0.91,22.9477,26.4371,1.0832,0.232,0.2225,2.1339,2.1339,74180.9597,74180.8097,35490.0575,531877.481,531876.4055
000906.SZ,000906,浙商中拓,浙江,仓储物流,主板,19990707,20250307,6.27,3.3132,5.9579,1.53,6.5055,8.5015,0.9387,0.0219,0.0224,5.5107,5.5107,70856.1679,70202.0764,39039.735,444268.1727,440167.019
000910.SZ,000910,大亚圣象,江苏,家居用品,主板,19990630,20250307,7.84,4.861,9.0795,10.05,12.8984,19.2603,0.6367,0.657,0.7341,2.4235,2.4235,54739.75,54711.7,29291.62,429159.64,428939.728
000912.SZ,000912,泸天化,四川,农药化肥,主板,19990603,20250307,4.67,0.7649,1.8523,0.88,48.8048,188.176,1.1329,1.1409,1.3784,0.0,,156800.0,156800.0,64753.1247,732256.0,732256.0
000913.SZ,000913,钱江摩托,浙江,摩托车,主板,19990514,20250307,18.32,1.1222,1.9054,0.94,20.7934,18.5254,2.2159,1.8927,1.629,4.2581,4.2581,52667.1,45731.7575,26934.6178,964861.272,837805.7974
000915.SZ,000915,华特达因,山东,化学制药,主板,19990609,20250307,25.54,1.7565,2.2522,0.68,10.2259,12.2166,2.1673,2.4092,2.7922,9.7886,9.7886,23433.1485,23420.7235,18266.2895,598482.6127,598165.2782
000917.SZ,000917,电广传媒,湖南,广告包装,主板,19990325,20250307,7.93,6.3814,7.657,1.24,64.0261,71.6862,1.0876,2.8676,3.0074,0.2522,0.2522,141755.6338,141745.9363,118131.7383,1124122.176,1124045.2749
000919.SZ,000919,金陵药业,江苏,化学制药,主板,19991118,20250307,6.7,1.4618,2.3811,0.84,41.9342,56.9238,1.1067,1.5001,1.4401,1.5053,1.5053,62370.8628,59035.9462,36241.5623,417884.7808,395540.8395
