ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
603677.SH,603677,奇精机械,浙江,家用电器,主板,20170206,306813.1779,306813.1779
603678.SH,603678,火炬电子,福建,元器件,主板,20150126,1576697.4398,1576697.4398
603679.SH,603679,华体科技,四川,电气设备,主板,20170621,222510.9973,222510.9973
603680.SH,603680,今创集团,江苏,运输设备,主板,20180227,662242.3581,662242.3581
603681.SH,603681,永冠新材,上海,化工原料,主板,20190326,274272.929,274272.929
603682.SH,603682,锦和商管,上海,房产服务,主板,20200421,257985.0,257985.0
603683.SH,603683,晶华新材,上海,化工原料,主板,20171020,304236.676,299939.104
603685.SH,603685,晨丰科技,浙江,电气设备,主板,20171127,213288.0342,213288.0342
603686.SH,603686,福龙马,福建,环境保护,主板,20150126,522196.0178,522196.0178
603687.SH,603687,大胜达,浙江,广告包装,主板,20190726,398773.1014,398773.1014
603688.SH,603688,石英股份,江苏,矿物制品,主板,20141031,1405655.16,1405655.16
603689.SH,603689,皖天然气,安徽,供气供热,主板,20170110,416659.7524,410452.2024
603690.SH,603690,至纯科技,上海,半导体,主板,20170113,982897.5933,981154.4085
603693.SH,603693,江苏新能,江苏,新型电力,主板,20180703,878995.2177,878995.2177
603696.SH,603696,安记食品,福建,食品,主板,20151209,206505.6,206505.6
603697.SH,603697,有友食品,重庆,食品,主板,20190508,372519.8174,372519.8174
603698.SH,603698,航天工程,北京,专用机械,主板,20150128,937982.5,937982.5
603699.SH,603699,纽威股份,江苏,机械基件,主板,20140117,1938342.773,1903327.9101
603700.SH,603700,宁水集团,浙江,电器仪表,主板,20190122,286774.462,286774.462
603701.SH,603701,德宏股份,浙江,汽车配件,主板,20160412,424190.3653,424190.3653
603703.SH,603703,盛洋科技,浙江,元器件,主板,20150423,526612.3103,526612.3103
603706.SH,603706,东方环宇,新疆,供气供热,主板,20180709,336154.3174,336154.3174
603707.SH,603707,健友股份,江苏,生物制药,主板,20170719,2111634.9045,2111634.9045
603708.SH,603708,家家悦,山东,超市连锁,主板,20161213,638338.597,638338.597
603709.SH,603709,中源家居,浙江,家居用品,主板,20180208,143151.0288,141897.6
603711.SH,603711,香飘飘,浙江,软饮料,主板,20171130,590953.1776,590953.1776
603712.SH,603712,七一二,天津,通信设备,主板,20180226,1579512.0,1579512.0
603713.SH,603713,密尔克卫,上海,仓储物流,主板,20180713,784646.2164,784468.7366
603716.SH,603716,塞力医疗,湖北,医药商业,主板,20161031,190606.2775,190606.2775
603717.SH,603717,天域生物,重庆,农业综合,主板,20170327,219930.8499,219930.8499
603718.SH,603718,海利生物,上海,农业综合,主板,20150515,465135.3,458828.6479
603719.SH,603719,良品铺子,湖北,食品,主板,20200224,508468.0,508468.0
603721.SH,603721,中广天择,湖南,影视音像,主板,20170811,361010.0,361010.0
603722.SH,603722,阿科力,江苏,化工原料,主板,20171025,407682.5155,374613.75
603725.SH,603725,天安新材,广东,塑料,主板,20170906,204254.6456,192060.6456
603726.SH,603726,朗迪集团,浙江,家用电器,主板,20160421,307624.0384,304889.9884
603727.SH,603727,博迈科,天津,石油开采,主板,20161122,402858.5661,402858.5661
603728.SH,603728,鸣志电器,上海,电气设备,主板,20170509,3376192.95,3376192.95
603729.SH,603729,龙韵股份,上海,广告包装,主板,20150324,152047.602,152047.602
603730.SH,603730,岱美股份,上海,汽车配件,主板,20170728,1434592.4241,1434592.4241
603733.SH,603733,仙鹤股份,浙江,造纸,主板,20180420,1618097.1364,1618097.1364
603737.SH,603737,三棵树,福建,染料涂料,主板,20160603,2553375.4704,2553375.4704
603738.SH,603738,泰晶科技,湖北,元器件,主板,20160928,653672.9342,653672.9342
603739.SH,603739,蔚蓝生物,山东,农业综合,主板,20190116,339311.7093,339311.7093
603755.SH,603755,日辰股份,山东,食品,主板,20190828,257973.3895,257973.3895
603757.SH,603757,大元泵业,浙江,机械基件,主板,20170711,376115.5381,376115.5381
603758.SH,603758,秦安股份,重庆,汽车配件,主板,20170517,609927.8981,609927.8981
603759.SH,603759,海天股份,四川,水务,主板,20210326,382799.04,382799.04
603766.SH,603766,隆鑫通用,重庆,摩托车,主板,20120810,2113094.5637,2113094.5637
603767.SH,603767,中马传动,浙江,汽车配件,主板,20170613,452453.779,452453.779
603768.SH,603768,常青股份,安徽,汽车配件,主板,20170324,318384.9367,318384.9367
603773.SH,603773,沃格光电,江西,元器件,主板,20180417,540586.6047,493611.549
603776.SH,603776,永安行,江苏,公共交通,主板,20170817,365799.2532,365799.2532
603777.SH,603777,来伊份,上海,食品,主板,20161012,530754.9749,529020.2749
603778.SH,603778,国晟科技,北京,电气设备,主板,20151231,207498.9099,203142.8569
603779.SH,603779,威龙股份,山东,红黄酒,主板,20160516,281938.2581,281938.2581
603786.SH,603786,科博达,上海,汽车配件,主板,20191015,2524314.375,2514925.625
603787.SH,603787,新日股份,江苏,摩托车,主板,20170427,251547.1625,251547.1625
603788.SH,603788,宁波高发,浙江,汽车配件,主板,20150120,354450.3931,354450.3931
603789.SH,603789,星光农机,浙江,农用机械,主板,20150427,196347.7164,188760.0
603790.SH,603790,雅运股份,上海,染料涂料,主板,20180912,259484.16,259484.16
603797.SH,603797,联泰环保,广东,环境保护,主板,20170413,232627.2532,232627.2532
603798.SH,603798,康普顿,山东,石油加工,主板,20160406,241319.1207,241319.1207
603799.SH,603799,华友钴业,浙江,小金属,主板,20150129,6142617.3494,6121403.4116
603800.SH,603800,洪田股份,江苏,专用机械,主板,20151210,647920.0,647920.0
603801.SH,603801,志邦家居,安徽,家居用品,主板,20170630,544759.2546,542068.7276
603803.SH,603803,瑞斯康达,北京,通信设备,主板,20170420,498768.8122,493714.6932
603806.SH,603806,福斯特,浙江,塑料,主板,20140905,4012236.6693,4012236.6693
603808.SH,603808,歌力思,深圳,服饰,主板,20150422,264639.5935,264639.5935
603809.SH,603809,豪能股份,四川,汽车配件,主板,20171128,1197762.5396,1197762.5396
603810.SH,603810,丰山集团,江苏,农药化肥,主板,20180917,221594.6875,221594.6875
603811.SH,603811,诚意药业,浙江,化学制药,主板,20170315,261516.1517,261516.1517
603813.SH,603813,原尚股份,广东,公路,主板,20170918,147546.075,126368.51
603815.SH,603815,交建股份,安徽,建筑工程,主板,20191021,404776.4497,404776.4497
603816.SH,603816,顾家家居,浙江,家居用品,主板,20161014,2265133.0264,2238330.1326
603817.SH,603817,海峡环保,福建,环境保护,主板,20170220,306721.9265,306721.9265
603818.SH,603818,曲美家居,北京,家居用品,主板,20150422,196325.6287,195664.9987
603819.SH,603819,神力股份,江苏,电气设备,主板,20161125,296113.0543,296113.0543
603822.SH,603822,嘉澳环保,浙江,化工原料,主板,20160428,474015.7166,474015.7166
603823.SH,603823,百合花,浙江,染料涂料,主板,20161220,421780.4842,416374.9136
603825.SH,603825,华扬联众,湖南,互联网,主板,20170802,352644.4804,352644.4804
603826.SH,603826,坤彩科技,福建,染料涂料,主板,20170414,1310400.0,1310400.0
603828.SH,603828,ST柯利达,江苏,装修装饰,主板,20150226,191303.2107,191296.6196
603829.SH,603829,洛凯股份,江苏,电气设备,主板,20171017,225920.0,225920.0
603833.SH,603833,欧派家居,广东,家居用品,主板,20170328,3876037.5357,3876037.5357
603836.SH,603836,海程邦达,山东,仓储物流,主板,20210526,255928.3405,255928.3405
603838.SH,603838,四通股份,广东,家居用品,主板,20150701,168968.448,168968.448
603839.SH,603839,安正时尚,浙江,服饰,主板,20170214,227550.9312,227550.9312
603843.SH,603843,正平股份,青海,建筑工程,主板,20160905,224579.0591,224579.0591
603848.SH,603848,好太太,广东,家居用品,主板,20171201,577997.3722,575843.7172
603855.SH,603855,华荣股份,上海,专用机械,主板,20170524,860698.95,850562.7
603856.SH,603856,东宏股份,山东,塑料,主板,20171106,312236.0584,283850.9622
603858.SH,603858,步长制药,山东,中成药,主板,20161118,1649109.5837,1649109.5837
603859.SH,603859,能科科技,北京,软件服务,主板,20161021,862804.0937,862804.0937
603860.SH,603860,中公高科,北京,建筑工程,主板,20170802,201640.32,201640.32
603861.SH,603861,白云电器,广东,电气设备,主板,20160322,513242.7487,500799.7296
603863.SH,603863,松炀资源,广东,造纸,主板,20190621,316798.2,316798.2
603866.SH,603866,桃李面包,辽宁,食品,主板,20151222,926237.3907,926237.3907
603867.SH,603867,新化股份,浙江,化工原料,主板,20190627,509785.0141,509785.0141
603868.SH,603868,飞科电器,上海,家用电器,主板,20160418,1536361.2,1536361.2
