ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002008.SZ,002008,大族激光,深圳,专用机械,主板,20040625,20250307,28.69,4.7751,5.8936,1.7,36.8041,18.7468,1.9,2.1423,2.0352,0.689,0.689,105219.3,97931.6974,79346.3784,3018741.717,2809660.3984
002012.SZ,002012,凯恩股份,浙江,造纸,主板,20040705,20250307,4.68,1.5717,2.014,0.72,46.106,70446.6054,1.4216,2.6495,3.7455,0.6624,0.6624,46762.547,46653.7641,36406.9724,218848.72,218339.616
002021.SZ,002021,中捷资源,浙江,纺织机械,主板,20040715,20250307,2.41,3.4993,4.348,1.34,4.8854,4.6547,4.5966,4.045,3.4553,0.0,,120541.1823,120537.2391,97007.7704,290504.2493,290494.7462
002025.SZ,002025,航天电器,贵州,元器件,主板,20040726,20250307,56.85,2.2481,3.6028,1.26,34.6086,45.8207,3.9666,4.1826,5.1929,0.6684,0.6684,45687.0256,45256.1028,28239.6268,2597307.4054,2572809.4442
002027.SZ,002027,分众传媒,广东,广告包装,主板,20040804,20250307,6.56,0.7601,1.1279,0.72,19.6269,18.2436,5.9988,7.9589,7.5854,6.5549,6.5549,1444219.9726,1444219.9726,973320.6673,9474083.0203,9474083.0203
002028.SZ,002028,思源电气,上海,电气设备,主板,20040805,20250307,74.0,1.0388,1.1468,1.11,36.8439,27.5319,4.6253,4.6104,3.7162,0.539,0.539,77629.6709,60472.0138,54776.3172,5744595.6466,4474929.0212
002031.SZ,002031,巨轮智能,广东,汽车配件,主板,20040816,20250307,10.85,22.6162,25.3424,0.94,,,9.8112,29.7087,20.7014,0.0,,219939.567,198224.8013,176900.8766,2386344.302,2150739.0941
002032.SZ,002032,苏泊尔,浙江,家用电器,主板,20040817,20250307,52.74,0.1323,0.7918,0.73,19.3888,18.8304,7.5322,1.9838,1.8845,5.1475,5.1475,80135.9733,80039.7246,13371.5342,4226371.2318,4221295.0754
002044.SZ,002044,美年健康,江苏,医疗保健,主板,20050518,20250307,6.77,5.2389,7.217,0.79,52.4098,86.9812,3.4628,2.4326,2.4499,0.2806,0.2806,391425.3923,387244.872,281103.822,2649949.9059,2621647.7834
002049.SZ,002049,紫光国微,河北,半导体,主板,20050606,20250307,69.58,7.1938,9.7219,1.25,23.3598,49.6563,4.9241,7.8141,10.727,0.9699,0.9699,84962.2855,84947.3005,62857.1679,5911675.8251,5910633.1688
002050.SZ,002050,三花智控,浙江,家用电器,主板,20050607,20250307,31.7,2.7716,5.0264,0.8,40.5057,38.6235,6.5473,4.8179,4.5254,1.0985,1.0985,373238.9535,367045.0033,202393.2168,11831674.826,11635326.6046
002054.SZ,002054,德美化工,广东,染料涂料,主板,20060725,20250307,6.2,1.5355,1.9303,1.01,98.5485,49.2606,1.2191,0.9713,0.9766,1.1128,1.1128,48211.5452,38283.8379,30454.4859,298911.5802,237359.795
002058.SZ,002058,威尔泰,上海,电器仪表,主板,20060802,20250307,10.72,3.6522,6.8819,0.65,,,11.5852,9.8199,8.8803,0.0,,14344.8332,14311.7781,7595.1925,153776.6119,153422.2612
002064.SZ,002064,华峰化学,浙江,化纤,主板,20060823,20250307,8.35,0.3746,1.114,0.85,16.7189,16.1577,1.5816,1.5757,1.5353,1.7964,1.7964,496254.3897,495199.0572,166498.7545,4143724.154,4134912.1276
002065.SZ,002065,东华软件,北京,软件服务,主板,20060823,20250307,12.55,13.9497,18.6995,1.22,91.7558,103.0744,3.4063,3.491,3.2768,0.3984,0.3984,320548.2375,290792.1649,216928.2245,4022880.3806,3649441.6695
002066.SZ,002066,瑞泰科技,北京,其他建材,主板,20060823,20250307,10.79,1.0595,1.7697,0.68,34.2354,40.1527,3.4504,0.5385,0.5689,0.9268,0.9268,23100.0,23100.0,13830.2535,249249.0,249249.0
002069.SZ,002069,獐子岛,辽宁,渔业,主板,20060928,20250307,3.49,1.4114,2.4868,1.43,288.9772,,51.1472,1.4795,1.5881,0.0,,71111.2194,71021.6194,40309.2164,248178.1557,247865.4517
002072.SZ,002072,凯瑞德,湖北,商贸代理,主板,20061018,20250307,4.98,2.942,3.9755,0.96,973.7949,,36.1276,5.4426,2.9397,0.0,,36768.0,25645.72,18978.5687,183104.64,127715.6856
002074.SZ,002074,国轩高科,安徽,电气设备,主板,20061018,20250307,23.01,1.5458,2.518,0.64,44.1704,39.1595,1.6444,1.3119,1.1846,0.4267,0.4267,180199.6317,172410.2893,105842.8587,4146393.5254,3967160.7568
002078.SZ,002078,太阳纸业,山东,造纸,主板,20061116,20250307,14.54,1.0092,1.8365,1.46,13.1681,13.0,1.4188,1.0275,0.9974,2.0633,2.0633,279453.5119,277530.7188,152517.1406,4063254.063,4035296.6514
002080.SZ,002080,中材科技,江苏,玻璃,主板,20061120,20250307,15.02,1.4404,3.6226,0.8,11.332,22.4129,1.383,0.9736,1.0301,3.7284,3.7284,167812.3584,167812.3584,66724.898,2520541.6232,2520541.6232
002084.SZ,002084,海鸥住工,广东,家居用品,主板,20061124,20250307,2.97,1.186,2.0243,0.69,,,1.2308,0.6607,0.6613,1.0038,1.0038,64605.604,64197.2375,37609.8218,191878.6439,190665.7954
002085.SZ,002085,万丰奥威,浙江,汽车配件,主板,20061128,20250307,20.38,5.8366,10.8928,0.98,59.5223,57.378,6.2686,2.67,2.7082,0.736,0.736,212329.752,212329.752,113771.4903,4327280.3458,4327280.3458
002105.SZ,002105,信隆健康,深圳,摩托车,主板,20070112,20250307,7.72,17.9739,34.6571,2.8,130.925,6963.6475,3.1585,2.9478,2.7246,0.3887,0.3887,36806.0,36447.1975,18902.3028,284142.32,281372.3647
002107.SZ,002107,沃华医药,山东,中成药,主板,20070124,20250307,4.51,1.0393,2.1182,0.86,44.2972,107.2366,3.8066,2.8622,3.3817,5.5432,5.5432,57720.96,56961.665,27947.0287,260321.5296,256897.1092
002114.SZ,002114,罗平锌电,云南,铅锌,主板,20070215,20250307,7.12,6.6296,9.1312,0.71,,,2.3985,1.4971,1.6798,0.0,,32339.5267,32339.0823,23479.3223,230257.4301,230254.266
002126.SZ,002126,银轮股份,浙江,汽车配件,主板,20070418,20250307,34.98,8.1858,8.6949,0.67,47.692,37.7806,4.7917,2.6497,2.3869,0.2805,0.2805,83460.0656,78403.6359,73813.2404,2919433.0947,2742559.1838
